,simulation_id,p,ver,initialization,hidden_size,corpus_seed,training_seed,regularization,regularization_lambda,learning_rate,num_epochs,dropout,validation_ratio,early_stop_patience,train_size,training_loss,validation_loss,G,D:G,test_accuracy,first_n_failure,eval_params
3174,ffef60d2,0.3,8,uniform,3,100,500,L1,0.1,0.001,20000,0.0,0.05,2.0,5000,5.099265098571780,1.1626442670822100,3685,1681179.5642862300,0.002,2,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
3178,5a32ccb0,0.3,8,uniform,3,100,500,L1,0.1,0.001,20000,0.0,0.05,10.0,5000,5.021793842315670,1.1626524925231900,3635,1681349.441627300,0.002,2,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
3179,db2c4f1a,0.3,8,uniform,3,100,500,L1,0.1,0.001,20000,0.0,0.05,10.0,10000,4.973491668701170,1.1640115976333600,3633,1682275.4715066700,0.002,2,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
3175,57d4ea87,0.3,8,uniform,3,100,500,L1,0.1,0.001,20000,0.0,0.05,2.0,10000,5.156980514526370,1.1640599966049200,3669,1682076.1992541500,0.002,2,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1511,c3bee670,0.3,8,normal,3,100,500,L1,0.1,0.001,20000,0.2,0.05,10.0,10000,4.822410583496090,1.167771577835080,2587,1894948.196916750,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
899,06d2e753,0.3,8,normal,3,100,300,L2,1.0,0.001,20000,0.4,0.05,10.0,10000,52.47776412963870,1.172650933265690,3395,1668848.3087611200,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
883,4cb2479b,0.3,8,normal,3,100,300,L2,1.0,0.001,20000,0.2,0.05,2.0,10000,52.85338592529300,1.1729518175125100,3387,1669018.54677594,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
887,36df4b0b,0.3,8,normal,3,100,300,L2,1.0,0.001,20000,0.2,0.05,10.0,10000,52.251670837402300,1.1729665994644200,3309,1669601.215235580,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
907,fd3d032e,0.3,8,normal,3,100,300,L2,1.0,0.001,20000,0.6,0.05,2.0,10000,52.548309326171900,1.1733840703964200,3375,1669814.3734278700,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
910,9155c307,0.3,8,normal,3,100,300,L2,1.0,0.001,20000,0.6,0.05,10.0,5000,50.99616241455080,1.1780511140823400,3333,1670298.5779509700,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
906,921c7426,0.3,8,normal,3,100,300,L2,1.0,0.001,20000,0.6,0.05,2.0,5000,51.59743118286130,1.1780668497085600,3307,1669080.9433364600,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
895,0bec7af7,0.3,8,normal,3,100,300,L2,1.0,0.001,20000,0.4,0.05,2.0,10000,63.2037353515625,1.1812180280685400,3539,1670743.1083604400,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
881,012496fc,0.3,8,normal,3,100,300,L2,1.0,0.001,20000,0.2,0.05,2.0,1000,58.8765983581543,1.183862328529360,3431,1666984.5271051700,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1144,8cc800f0,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.6,0.05,2.0,500,44.939537048339800,1.1859647035598800,4059,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1084,44d1b403,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.4,0.05,2.0,500,88.75398254394530,1.185964822769170,4055,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1096,7c832d93,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.6,0.05,2.0,500,88.74193572998050,1.185964822769170,4059,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1108,15151856,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.0,0.05,2.0,500,44.94590377807620,1.185964822769170,4055,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1132,9c610b63,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.4,0.05,2.0,500,44.95158386230470,1.185964822769170,4057,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1060,277ed757,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.0,0.05,2.0,500,88.74829864501950,1.1859649419784500,4055,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1072,c6ac963a,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.2,0.05,2.0,500,88.75042724609380,1.1859649419784500,4055,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1120,29ef0e65,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.2,0.05,2.0,500,44.94802474975590,1.1859649419784500,4055,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1145,7c173a54,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.6,0.05,2.0,1000,44.932369232177700,1.1868393421173100,4059,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1146,bd36cd00,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.6,0.05,2.0,5000,44.94292068481450,1.1868393421173100,4057,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1097,cc94be3f,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.6,0.05,2.0,1000,88.7347640991211,1.1868394613266000,4055,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1133,18cc479a,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.4,0.05,2.0,1000,44.946895599365200,1.1868394613266000,4059,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1134,14365fa1,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.4,0.05,2.0,5000,44.94430160522460,1.1868394613266000,4057,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1062,59233dae,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.0,0.05,2.0,5000,88.74662780761720,1.1868395805358900,4055,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1086,0de26a8d,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.4,0.05,2.0,5000,88.7467041015625,1.1868395805358900,4057,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1098,3123d20f,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.6,0.05,2.0,5000,88.74532318115230,1.1868395805358900,4057,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1110,84882344,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.0,0.05,2.0,5000,44.94422912597660,1.1868395805358900,4055,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1061,287c9363,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.0,0.05,2.0,1000,88.74710083007810,1.1868396997451800,4055,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1073,a9dd8c5b,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.2,0.05,2.0,1000,88.74530029296880,1.1868396997451800,4055,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1074,8eab4139,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.2,0.05,2.0,5000,88.74876403808590,1.1868396997451800,4055,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1085,2.8327E+94,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.4,0.05,2.0,1000,88.74929809570310,1.1868396997451800,4055,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1109,52476904,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.0,0.05,2.0,1000,44.9447021484375,1.1868396997451800,4055,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1121,e5ac07a8,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.2,0.05,2.0,1000,44.942901611328100,1.1868396997451800,4055,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1122,b9879ea3,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.2,0.05,2.0,5000,44.94636535644530,1.1868396997451800,4057,1725917.35716732,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1112,03d900be,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.0,0.05,10.0,500,44.517127990722700,1.1877800226211500,4057,1728874.3409905000,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1064,fa093685,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.0,0.05,10.0,500,87.89069366455080,1.1877812147140500,4055,1728874.5213273800,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1136,61a15894,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.4,0.05,10.0,500,44.511837005615200,1.187781810760500,4065,1728877.7673912200,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1148,f9f75f2a,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.6,0.05,10.0,500,44.504459381103500,1.187781810760500,4063,1728876.6853699400,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1088,0faeea06,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.4,0.05,10.0,500,87.88540649414060,1.1877820491790800,4065,1728876.6853699400,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1100,4f24ec60,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.6,0.05,10.0,500,87.87802124023440,1.1877821683883700,4065,1728877.0460437000,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1076,d3f4e5bd,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.2,0.05,10.0,500,87.89537048339840,1.1877824068069500,4071,1728875.9640224200,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1124,bf270cf5,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.2,0.05,10.0,500,44.521812438964800,1.1877824068069500,4071,1728876.8657068200,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1149,c1d766ed,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.6,0.05,10.0,1000,44.52832794189450,1.1886701583862300,4083,1728865.684820260,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1137,39526bdc,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.4,0.05,10.0,1000,44.520145416259800,1.1886721849441500,4075,1728868.7505472200,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1150,740dd2cd,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.6,0.05,10.0,5000,44.5156135559082,1.1886740922927900,4079,1728872.3572848200,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1101,e12cf89b,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.6,0.05,10.0,1000,87.90188598632810,1.1886742115020800,4083,1728871.6359373000,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1114,77909eda,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.0,0.05,10.0,5000,44.515419006347700,1.1886745691299400,4057,1728874.3409905000,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1113,c048dad7,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.0,0.05,10.0,1000,44.51591110229490,1.1886746883392300,4057,1728874.3409905000,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1089,638343cd,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.4,0.05,10.0,1000,87.89370727539060,1.1886749267578100,4075,1728873.9803167400,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1125,031f6fea,0.3,8,normal,3,100,400,L1,0.5,0.001,20000,0.2,0.05,10.0,1000,44.51601028442380,1.1886752843856800,4071,1728873.9803167400,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
1102,3b849079,0.3,8,normal,3,100,400,L1,1.0,0.001,20000,0.6,0.05,10.0,5000,87.88917541503910,1.1886755228042600,4079,1728873.9803167400,0.0,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
